iso_code,continent,location,172020,country code,31122020
AFG,Asia,Afghanistan,31826,004,51526
ALB,Europe,Albania,2580,008,58316
DZA,Africa,Algeria,14272,012,99610
AND,Europe,Andorra,855,020,8049
AGO,Africa,Angola,291,024,17553
ATG,North America,Antigua and Barbuda,69,028,159
ARG,South America,Argentina,67197,032,1625514
ARM,Asia,Armenia,26065,051,159409
AUS,Oceania,Australia,8001,036,28425
AUT,Europe,Austria,17873,040,360815
AZE,Asia,Azerbaijan,18112,031,218700
BHS,North America,Bahamas,104,044,7871
BHR,Asia,Bahrain,27414,048,92675
BGD,Asia,Bangladesh,149258,050,513510
BRB,North America,Barbados,97,052,383
BLR,Europe,Belarus,62424,112,194284
BEL,Europe,Belgium,61509,056,646496
BLZ,North America,Belize,28,084,10776
BEN,Africa,Benin,1199,204,3251
BTN,Asia,Bhutan,77,064,670
BOL,South America,Bolivia,34227,068,160124
BIH,Europe,Bosnia and Herzegovina,4606,070,110985
BWA,Africa,Botswana,227,072,14805
BRA,South America,Brazil,1448753,076,7675973
BRN,Asia,Brunei,141,096,157
BGR,Europe,Bulgaria,5154,100,202266
BFA,Africa,Burkina Faso,962,854,6707
BDI,Africa,Burundi,170,108,818
KHM,Asia,Cambodia,141,116,378
CMR,Africa,Cameroon,12592,120,26277
CAN,North America,Canada,106288,124,584409
CPV,Africa,Cape Verde,1267,132,11840
CAF,Africa,Central African Republic,3745,140,4963
TCD,Africa,Chad,866,148,2113
CHL,South America,Chile,282043,152,608973
CHN,Asia,China,83583,156,87117
COL,South America,Colombia,102009,170,1642775
COM,Africa,Comoros,303,174,823
COG,Africa,Congo,1382,178,7107
CRI,North America,Costa Rica,3753,188,169321
CIV,Africa,Cote d'Ivoire,9702,384,22490
HRV,Europe,Croatia,2831,191,210837
CUB,North America,Cuba,2348,192,11863
CYP,Europe,Cyprus,999,196,22019
CZE,Europe,Czechia,12046,203,718661
COD,Africa,Democratic Republic of Congo,7122,243,17658
DNK,Europe,Denmark,12994,208,164116
DJI,Africa,Djibouti,4704,262,5831
DMA,North America,Dominica,18,212,88
DOM,North America,Dominican Republic,33387,214,170785
ECU,South America,Ecuador,58257,218,212512
EGY,Africa,Egypt,69814,818,138062
SLV,North America,El Salvador,6736,222,46242
GNQ,Africa,Equatorial Guinea,2001,226,5277
ERI,Africa,Eritrea,203,232,1320
EST,Europe,Estonia,1989,233,27990
SWZ,Africa,Eswatini,840,268,9358
ETH,Africa,Ethiopia,5846,231,124264
FJI,Oceania,Fiji,18,679,49
FIN,Europe,Finland,7236,358,36107
FRA,Europe,France,205234,250,2677666
GAB,Africa,Gabon,5513,266,9571
GMB,Africa,Gambia,49,270,3797
GEO,Asia,Georgia,931,995,227420
DEU,Europe,Germany,195893,276,1760520
GHA,Africa,Ghana,18134,288,54771
GRC,Europe,Greece,3432,300,138850
GRD,North America,Grenada,23,308,127
GTM,North America,Guatemala,19011,320,138012
GIN,Africa,Guinea,5404,324,13722
GNB,Africa,Guinea-Bissau,1654,624,2452
GUY,South America,Guyana,248,328,6332
HTI,North America,Haiti,5933,332,9999
HND,North America,Honduras,20262,340,121827
HKG,Asia,Hong Kong,1233,852,8846
HUN,Europe,Hungary,4157,348,322514
ISL,Europe,Iceland,1825,352,5754
IND,Asia,India,604641,356,10266674
IDN,Asia,Indonesia,57770,360,743198
IRN,Asia,Iran,230211,364,1225142
IRQ,Asia,Iraq,51524,368,595291
IRL,Europe,Ireland,25477,372,91779
ISR,Asia,Israel,26410,376,423262
ITA,Europe,Italy,240760,380,2107166
JAM,North America,Jamaica,707,388,12827
JPN,Asia,Japan,18838,392,235811
JOR,Asia,Jordan,1133,400,294494
KAZ,Asia,Kazakhstan,41065,398,201196
KEN,Africa,Kenya,6673,404,96458
KWT,Asia,Kuwait,46940,414,150584
KGZ,Asia,Kyrgyzstan,6261,417,81034
LAO,Asia,Laos,19,418,41
LVA,Europe,Latvia,1121,428,40904
LBN,Asia,Lebanon,1788,422,181503
LSO,Africa,Lesotho,35,426,3094
LBR,Africa,Liberia,804,430,1779
LBY,Africa,Libya,874,434,100277
LIE,Europe,Liechtenstein,82,438,2136
LTU,Europe,Lithuania,1813,440,141955
LUX,Europe,Luxembourg,4345,442,46415
MDG,Africa,Madagascar,2303,450,17714
MWI,Africa,Malawi,1265,454,6583
MYS,Asia,Malaysia,8640,458,113010
MDV,Asia,Maldives,2382,462,13757
MLI,Africa,Mali,2202,466,7090
MLT,Europe,Malta,671,470,12774
MHL,Oceania,Marshall Islands,,692,4
MRT,Africa,Mauritania,4472,478,14364
MUS,Africa,Mauritius,341,480,527
MEX,North America,Mexico,231770,484,1426094
MDA,Europe,Moldova,16898,498,144818
MCO,Europe,Monaco,103,492,875
MNG,Asia,Mongolia,220,496,1220
MNE,Europe,Montenegro,576,499,48247
MAR,Africa,Morocco,12636,504,439193
MOZ,Africa,Mozambique,903,508,18642
MMR,Asia,Myanmar,303,104,124630
NAM,Africa,Namibia,285,516,23941
NPL,Asia,Nepal,14046,524,260593
NLD,Europe,Netherlands,50545,528,808382
NZL,Oceania,New Zealand,1530,554,2162
NIC,North America,Nicaragua,2519,558,6046
NER,Africa,Niger,1075,562,3323
NGA,Africa,Nigeria,26484,566,87607
MKD,Europe,North Macedonia,6454,389,83329
NOR,Europe,Norway,8896,578,49567
OMN,Asia,Oman,41194,512,128867
PAK,Asia,Pakistan,217809,586,482178
PSE,Asia,Palestine,2758,275,138004
PAN,North America,Panama,34463,591,246790
PNG,Oceania,Papua New Guinea,11,598,780
PRY,South America,Paraguay,2260,600,107932
PER,South America,Peru,288477,604,1015137
PHL,Asia,Philippines,38511,608,474064
POL,Europe,Poland,34775,616,1294878
PRT,Europe,Portugal,42454,620,413678
QAT,Asia,Qatar,97003,634,143834
ROU,Europe,Romania,27296,642,632263
RUS,Europe,Russia,653479,643,3127347
RWA,Africa,Rwanda,1042,646,8383
KNA,North America,Saint Kitts and Nevis,15,659,32
LCA,North America,Saint Lucia,19,662,353
VCT,North America,Saint Vincent and the Grenadines,29,670,121
WSM,Oceania,Samoa,,685,2
SMR,Europe,San Marino,698,674,2428
STP,Africa,Sao Tome and Principe,715,678,1014
SAU,Asia,Saudi Arabia,194225,682,362741
SEN,Africa,Senegal,6925,686,19140
SRB,Europe,Serbia,14836,688,337923
SYC,Africa,Seychelles,81,690,256
SLE,Africa,Sierra Leone,1498,694,2611
SGP,Asia,Singapore,44122,702,58599
SVK,Europe,Slovakia,1687,703,179543
SVN,Europe,Slovenia,1613,705,122152
SLB,Oceania,Solomon Islands,,677,17
SOM,Africa,Somalia,2924,090,4714
ZAF,Africa,South Africa,159333,706,1057161
KOR,Asia,South Korea,12904,082,61769
SSD,Africa,South Sudan,2021,728,3558
ESP,Europe,Spain,249659,724,1928265
LKA,Asia,Sri Lanka,2054,144,43299
SDN,Africa,Sudan,9500,736,25500
SUR,South America,Suriname,535,740,6210
SWE,Europe,Sweden,68608,752,437379
CHE,Europe,Switzerland,31851,756,452296
SYR,Asia,Syria,293,760,11434
TWN,Asia,Taiwan,447,158,799
TJK,Asia,Tajikistan,6005,762,13296
TZA,Africa,Tanzania,509,834,509
THA,Asia,Thailand,3173,764,7163
TLS,Asia,Timor,24,626,44
TGO,Africa,Togo,661,768,3633
TTO,North America,Trinidad and Tobago,130,780,7150
TUN,Africa,Tunisia,1175,788,139140
TUR,Asia,Turkey,201098,792,2208652
UGA,Africa,Uganda,893,800,35216
UKR,Europe,Ukraine,45924,804,1086997
ARE,Asia,United Arab Emirates,49069,784,207822
GBR,Europe,United Kingdom,285279,826,2496235
USA,North America,United States,2694053,840,20100244
URY,South America,Uruguay,943,858,19119
UZB,Asia,Uzbekistan,8781,860,77060
VUT,Oceania,Vanuatu,,678,1
VAT,Europe,Vatican,12,379,27
VEN,South America,Venezuela,6062,862,113558
VNM,Asia,Vietnam,355,704,1465
YEM,Asia,Yemen,1190,887,2099
ZMB,Africa,Zambia,1632,894,20725
ZWE,Africa,Zimbabwe,605,716,13867
